Timestamp,Location,Family member,Age,Male members,Female members,Building age,Land size,Male guest room,Female guest room,Living room,Outside room,,total family members ,,,,
2019/05/22 11:50:05 am GMT-6,2.00,1.00,35.00,2.00,2.00,2018.00,500.00,1.00,5.00,360.00,30.00,,4.00,,,,
2019/05/22 11:56:14 am GMT-6,2.00,1.00,35.00,2.00,5.00,2017.00,300.00,0.00,10.00,360.00,0.00,,7.00,,,,
2019/05/22 12:01:33 pm GMT-6,5.00,3.00,35.00,5.00,5.00,1979.00,400.00,30.00,30.00,360.00,180.00,,10.00,,,,
2019/05/22 12:04:18 pm GMT-6,2.00,1.00,35.00,7.00,5.00,1989.00,500.00,0.00,0.00,360.00,0.00,,12.00,,,,
2019/05/22 2:01:41 pm GMT-6,2.00,1.00,35.00,2.00,2.00,1999.00,200.00,200.00,0.00,360.00,0.00,,4.00,,,,
2019/05/23 3:24:20 am GMT-6,2.00,2.00,35.00,3.00,2.00,2016.00,300.00,24.00,24.00,360.00,0.00,,5.00,,,,
2019/05/24 12:24:31 pm GMT-6,2.00,3.00,35.00,4.00,3.00,2015.00,575.00,10.00,50.00,360.00,0.00,,7.00,,,,
2019/05/24 12:57:03 pm GMT-6,5.00,2.00,35.00,0.00,0.00,2013.00,450.00,0.00,0.00,360.00,0.00,,0.00,,,,
2019/05/24 1:14:02 pm GMT-6,4.00,2.00,35.00,3.00,1.00,2013.00,500.00,360.00,2.00,48.00,12.00,,4.00,,,,
2019/05/24 1:46:09 pm GMT-6,2.00,1.00,35.00,5.00,1.00,2012.00,350.00,2.00,0.00,360.00,360.00,,6.00,,,,
2019/05/24 4:13:56 pm GMT-6,2.00,2.00,35.00,2.00,2.00,1981.00,900.00,50.00,50.00,360.00,360.00,,4.00,,,,
2019/05/24 5:46:44 pm GMT-6,3.00,1.00,35.00,2.00,3.00,2004.00,300.00,360.00,360.00,360.00,0.00,,5.00,,,,
2019/05/24 5:47:26 pm GMT-6,4.00,4.00,35.00,3.00,1.00,2008.00,600.00,120.00,100.00,360.00,0.00,,4.00,,,,
2019/05/24 5:47:53 pm GMT-6,3.00,1.00,35.00,3.00,1.00,2017.00,300.00,20.00,20.00,360.00,360.00,,4.00,,,,
2019/05/24 6:06:40 pm GMT-6,4.00,2.00,35.00,6.00,8.00,2008.00,600.00,20.00,40.00,360.00,360.00,,14.00,,,,
2019/05/24 6:19:25 pm GMT-6,5.00,3.00,35.00,0.00,4.00,1993.00,500.00,50.00,150.00,360.00,0.00,,4.00,,,,
2019/05/24 8:34:00 pm GMT-6,4.00,3.00,35.00,2.00,2.00,2015.00,600.00,4.00,3.00,360.00,30.00,,4.00,,,,
2019/05/24 8:42:29 pm GMT-6,4.00,1.00,35.00,2.00,1.00,1998.00,600.00,15.00,0.00,360.00,0.00,,3.00,,,,
2019/05/25 5:44:49 pm GMT-6,2.00,2.00,35.00,3.00,4.00,2010.00,600.00,20.00,10.00,360.00,0.00,,7.00,,,,
